                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2912,                 1.6849,                 1.4218,                0.81932,                0.10241,                0.45869,                0.33597,                 1.7276,                 2.6273,                  1.862,               0.070079,              0.0033246,              0.0033246
                      2,                  1.306,                 1.4662,                 1.4368,                0.74824,                0.47112,                0.61187,                0.43106,                 1.4471,                  2.031,                 1.5857,               0.040035,               0.006614,               0.006614
                      3,                 1.2155,                  1.327,                 1.3816,                0.81148,                0.50827,                 0.6607,                0.48501,                 1.2708,                 1.4448,                 1.5084,              0.0099471,              0.0098593,              0.0098593
                      4,                 1.1371,                 1.2127,                 1.3353,                0.82359,                0.66794,                0.76946,                 0.6062,                 1.0453,                 1.0846,                 1.3032,               0.009802,               0.009802,               0.009802
                      5,                 1.0467,                 1.1056,                 1.2724,                0.84571,                0.70867,                0.79172,                0.63804,                0.94618,                 0.9178,                  1.207,               0.009802,               0.009802,               0.009802
                      6,                 1.0233,                  1.062,                 1.2599,                0.83545,                0.68401,                0.77956,                0.62847,                0.92005,                0.96193,                  1.192,               0.009736,               0.009736,               0.009736
                      7,                0.98671,                 1.0122,                 1.2332,                 0.8312,                0.70341,                0.78539,                0.64825,                0.90515,                0.89137,                 1.1865,                0.00967,                0.00967,                0.00967
                      8,                 0.9604,                0.96917,                 1.2168,                0.85693,                0.75356,                0.82457,                0.68395,                0.83669,                0.80391,                 1.1392,               0.009604,               0.009604,               0.009604
                      9,                0.92728,                0.93786,                 1.1987,                0.88106,                0.74315,                0.82626,                0.69341,                0.84696,                0.79632,                 1.1391,               0.009538,               0.009538,               0.009538
                     10,                0.92529,                0.92015,                 1.1952,                0.85161,                0.76352,                0.82812,                0.69969,                0.82191,                0.76193,                 1.1429,               0.009472,               0.009472,               0.009472
                     11,                0.90629,                0.91017,                 1.1814,                0.88317,                0.75374,                0.82944,                 0.7007,                0.80486,                0.74753,                 1.1173,               0.009406,               0.009406,               0.009406
                     12,                0.88595,                0.88138,                 1.1741,                0.87593,                0.80269,                0.85873,                0.72819,                0.76328,                0.69124,                  1.089,                0.00934,                0.00934,                0.00934
                     13,                0.88409,                0.87161,                 1.1703,                0.87999,                0.74184,                0.83098,                0.70423,                0.79831,                0.73064,                 1.0983,               0.009274,               0.009274,               0.009274
                     14,                 0.8687,                0.84583,                 1.1596,                0.88813,                0.79508,                0.86163,                0.73964,                 0.7569,                0.67532,                 1.0883,               0.009208,               0.009208,               0.009208
                     15,                0.84434,                0.82448,                 1.1491,                0.85816,                0.83163,                0.87658,                0.75353,                0.70757,                0.65159,                 1.0509,               0.009142,               0.009142,               0.009142
                     16,                0.83382,                0.81184,                 1.1429,                0.86864,                0.81566,                0.86743,                0.74124,                0.73822,                0.67302,                 1.0711,               0.009076,               0.009076,               0.009076
                     17,                0.83062,                0.80811,                 1.1417,                0.89557,                0.76584,                0.84603,                0.73344,                0.72042,                0.67399,                 1.0696,                0.00901,                0.00901,                0.00901
                     18,                0.82739,                0.80265,                 1.1387,                 0.8763,                0.79922,                  0.863,                0.75241,                0.71618,                0.65782,                 1.0652,               0.008944,               0.008944,               0.008944
                     19,                0.81893,                0.78485,                 1.1284,                0.88299,                0.81347,                0.86316,                0.75083,                0.69246,                0.64246,                 1.0418,               0.008878,               0.008878,               0.008878
                     20,                0.81804,                0.78609,                  1.131,                0.86878,                0.80612,                 0.8631,                0.74939,                0.68716,                0.63963,                 1.0455,               0.008812,               0.008812,               0.008812
                     21,                0.79825,                0.76895,                 1.1212,                0.87072,                0.82787,                0.87399,                0.76135,                0.69078,                0.63454,                 1.0366,               0.008746,               0.008746,               0.008746
                     22,                0.78903,                0.75577,                 1.1108,                0.88692,                0.83117,                0.88179,                0.77393,                0.66597,                0.59544,                  1.029,                0.00868,                0.00868,                0.00868
                     23,                0.78739,                0.74726,                 1.1188,                0.88608,                0.84208,                 0.8846,                0.77707,                0.66895,                0.58601,                 1.0244,               0.008614,               0.008614,               0.008614
                     24,                0.77728,                0.74254,                 1.1025,                0.88001,                0.83753,                0.88311,                0.77213,                0.68464,                0.60889,                 1.0371,               0.008548,               0.008548,               0.008548
                     25,                0.78192,                0.73468,                 1.1123,                0.88492,                0.84369,                0.88958,                0.78264,                 0.6587,                 0.5666,                 1.0193,               0.008482,               0.008482,               0.008482
                     26,                0.77734,                0.73086,                 1.1096,                0.87988,                0.83834,                0.88834,                0.78463,                0.64654,                0.58456,                 1.0175,               0.008416,               0.008416,               0.008416
                     27,                0.76586,                0.72279,                 1.1034,                0.88884,                0.83881,                0.88537,                0.77883,                0.65078,                0.56913,                 1.0196,                0.00835,                0.00835,                0.00835
                     28,                0.75369,                 0.7101,                 1.0952,                0.88029,                0.84666,                0.88953,                 0.7833,                0.64234,                0.57026,                 1.0156,               0.008284,               0.008284,               0.008284
                     29,                0.76048,                0.71885,                 1.0998,                0.88785,                0.82141,                0.87589,                0.77747,                0.64073,                 0.6062,                 1.0133,               0.008218,               0.008218,               0.008218
